id,name,km,express_stop
1,Üsküdar,0.000,True
2,Fıstıkağacı,1.220,False
3,Bağlarbaşı,2.180,False
4,Altunizade,3.630,True
5,Kısıklı,4.980,False
6,Bulgurlu,6.150,False
7,Ümraniye,7.730,True
8,Çarşı,8.870,False
9,Yamanevler,10.120,False
10,Çakmak,11.720,True
11,Ihlamurkuyu,13.180,False
12,Altınşehir,14.650,False
13,İmam Hatip,16.180,False
14,Dudullu,17.650,True
15,Necip Fazıl,19.180,False
16,Çekmeköy,20.950,True
17,Meclis,22.780,False
18,Sancaktepe Şehir Hastanesi,24.750,True
19,Sarıgazi,26.250,False
20,Sancaktepe,27.750,True
21,Samandıra Merkez,29.650,True
22,Veysel Karani,31.250,False
23,Hasanpaşa,32.850,False
24,Sultanbeyli,34.500,True
